parameter,2026-04-09 18:16:04 +0200,2026-04-09 22:34:32 +0200,2026-04-10 10:35:52 +0200,2026-04-10 17:23:06 +0200,2026-04-12 21:10:47 +0200,2026-04-13 18:31:02 +0200,2026-04-14 10:34:03 +0200,2026-04-17 15:06:07 +0200,2026-04-26 18:36:32 +0200,2026-04-27 19:23:04 +0200,2026-04-28 21:39:05,2026-05-01 17:43:24
run_trading.cli.--data-dir,'forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair','forex_data_by_pair'
run_trading.cli.--device,'auto','auto','auto','auto','auto','auto','auto','cuda','cuda','cuda','cuda','cuda'
run_trading.cli.--drawdown-penalty,,,,,,2.0,0.5,1.0,0.5,0.5,0.5,1.0
run_trading.cli.--turnover-penalty,,,,,,,,,,,0.25,0.25
run_trading.cli.--ent-coef,,,,,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.02
run_trading.cli.--ent-coef-final,,,,,,,,,,,0.005,0.01
run_trading.cli.--final-lr,,,,,,,,,,,,0.0001
run_trading.cli.--lot-size,,100000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
run_trading.cli.--lr,0.0003,0.0003,0.0003,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
run_trading.cli.--lstm-size,128,128,128,128,128,128,128,256,128,128,64,64
run_trading.cli.--lstm-layers,,,,,,,,,,,2,2
run_trading.cli.--max-folds,,None,None,None,None,None,None,24,24,24,24,24
run_trading.cli.--min-hold-steps,,,,,5,5,5,15,5,5,5,15
run_trading.cli.--output-dir,'results','results','results','results','results','results','results','results','results','results','results','results'
run_trading.cli.--tensorboard-log,,,,,,,,,,,'results/tensorboard','results/tensorboard'
run_trading.cli.--pair,None,None,None,None,None,None,None,'EURUSD','EURUSD','EURUSD','EURUSD','EURUSD'
run_trading.cli.--pip-cost,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
run_trading.cli.--position-cost,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
run_trading.cli.--seed,42,42,42,42,42,42,42,42,42,42,42,42
